timestamp,subtask,model,latency_sec,confidence,tokens,est_cost_usd,extra
2026-07-19T07:04:19,sentiment,distilbert/distilbert-base-uncased-finetuned-sst-2-english,1.022,0.999,,,
2026-07-19T07:04:20,intent_zeroshot,facebook/bart-large-mnli,1.339,0.2808,,,
2026-07-19T07:04:21,ner,dslim/bert-base-NER,0.898,0,,,entities=0
2026-07-19T07:04:23,response_generation,Qwen/Qwen2.5-7B-Instruct,1.416,,205,4.1e-05,
2026-07-19T07:04:29,text_to_speech,gTTS,6.001,,84,1.7e-05,
2026-07-19T08:55:02,sentiment,distilbert/distilbert-base-uncased-finetuned-sst-2-english,2.918,0.9987,,,
2026-07-19T08:55:03,intent_zeroshot,facebook/bart-large-mnli,1.22,0.4778,,,
2026-07-19T08:55:08,ner,dslim/bert-base-NER,4.543,0.9609,,,entities=3
2026-07-19T08:55:34,summarization,facebook/bart-large-cnn,25.654,0.5614,41,8e-06,confidence column = ROUGE-1 F1
2026-07-19T08:55:35,response_generation,Qwen/Qwen2.5-7B-Instruct,1.192,,204,4.1e-05,
2026-07-19T08:55:39,text_to_speech,gTTS,4.173,,83,1.7e-05,
2026-07-19T09:01:17,sentiment,distilbert/distilbert-base-uncased-finetuned-sst-2-english,1.254,0.9987,,,
2026-07-19T09:01:19,intent_zeroshot,facebook/bart-large-mnli,2.744,0.4778,,,
2026-07-19T09:01:22,intent_finetuned,distilbert-finetuned(Bitext),0.236,0.2131,,,
2026-07-19T09:01:23,ner,dslim/bert-base-NER,0.82,0.9609,,,entities=3
2026-07-19T09:01:25,summarization,facebook/bart-large-cnn,2.456,0.5614,41,8e-06,confidence column = ROUGE-1 F1
2026-07-19T09:01:27,response_generation,Qwen/Qwen2.5-7B-Instruct,1.59,,211,4.2e-05,
2026-07-19T09:01:31,text_to_speech,gTTS,4.256,,88,1.8e-05,
2026-07-19T09:06:19,sentiment,test-model,0.5,0.9,,,
2026-07-19T09:06:19,response_generation,test-model,1.2,,100,2e-05,
2026-07-19T09:06:19,user_feedback,human,0.0,1.0,,,👍 Helpful
2026-07-19T09:09:59,sentiment,distilbert/distilbert-base-uncased-finetuned-sst-2-english,1.124,0.9951,,,
2026-07-19T09:10:00,intent_zeroshot,facebook/bart-large-mnli,1.252,0.6209,,,
2026-07-19T09:10:05,intent_finetuned,distilbert-finetuned(Bitext),0.345,0.1799,,,
2026-07-19T09:10:06,ner,dslim/bert-base-NER,0.998,0.9993,,,entities=1
2026-07-19T09:10:08,summarization,facebook/bart-large-cnn,2.479,0.4615,51,1e-05,confidence column = ROUGE-1 F1
2026-07-19T09:10:09,response_generation,Qwen/Qwen2.5-7B-Instruct,1.132,,197,3.9e-05,
2026-07-19T09:10:14,text_to_speech,gTTS,4.106,,74,1.5e-05,
2026-07-19T09:19:12,sentiment,distilbert/distilbert-base-uncased-finetuned-sst-2-english,1.023,0.9996,,,
2026-07-19T09:19:15,intent_zeroshot,facebook/bart-large-mnli,2.394,0.5254,,,
2026-07-19T09:19:18,intent_finetuned,distilbert-finetuned(Bitext),0.384,0.186,,,
2026-07-19T09:19:19,ner,dslim/bert-base-NER,1.003,0.997,,,entities=2
2026-07-19T09:19:20,response_generation,Qwen/Qwen2.5-7B-Instruct,1.094,,195,3.9e-05,
2026-07-19T09:19:25,text_to_speech,gTTS,4.69,,76,1.5e-05,
2026-07-19T09:21:12,sentiment,distilbert/distilbert-base-uncased-finetuned-sst-2-english,5.124,0.9924,,,
2026-07-19T09:21:14,intent_zeroshot,facebook/bart-large-mnli,1.796,0.6274,,,
2026-07-19T09:21:14,intent_finetuned,distilbert-finetuned(Bitext),0.153,0.224,,,
2026-07-19T09:21:14,ner,dslim/bert-base-NER,0.499,0.9981,,,entities=1
2026-07-19T09:21:18,summarization,facebook/bart-large-cnn,3.535,0.4533,57,1.1e-05,confidence column = ROUGE-1 F1
2026-07-19T09:21:19,response_generation,Qwen/Qwen2.5-7B-Instruct,1.201,,177,3.5e-05,
2026-07-19T09:21:22,text_to_speech,gTTS,3.168,,64,1.3e-05,
2026-07-19T09:26:13,sentiment,distilbert/distilbert-base-uncased-finetuned-sst-2-english,0.559,0.9987,,,
2026-07-19T09:26:17,intent_zeroshot,facebook/bart-large-mnli,3.992,0.4778,,,
2026-07-19T09:26:17,intent_finetuned,distilbert-finetuned(Bitext),0.137,0.1558,,,
2026-07-19T09:26:17,ner,dslim/bert-base-NER,0.304,0.9609,,,entities=3
2026-07-19T09:26:22,summarization,facebook/bart-large-cnn,5.191,0.5614,41,8e-06,confidence column = ROUGE-1 F1
2026-07-19T09:26:23,response_generation,Qwen/Qwen2.5-7B-Instruct,0.935,,193,3.9e-05,
2026-07-19T09:26:27,text_to_speech,gTTS,4.021,,73,1.5e-05,
